"","x"
"1",1145
"2",1154
"3",1156
"4",1147
"5",2777
"6",2782
"7",2778
"8",2779
"9",1804
"10",1811
"11",1839
"12",1810
"13",2776
"14",2780
"15",2784
"16",2773
"17",2781
"18",1735
"19",1737
"20",1740
"21",2786
"22",2783
"23",1852
"24",1851
"25",1815
"26",1840
"27",1812
"28",1823
"29",1842
"30",1814
"31",1841
"32",1795
"33",1836
"34",2774
"35",2785
"36",1733
"37",1736
"38",1738
"39",1192
"40",1197
"41",1194
"42",2281
"43",287
"44",286
"45",281
"46",1190
"47",1191
"48",1189
"49",1185
"50",1805
"51",282
"52",1808
"53",1850
"54",1834
"55",1830
"56",1838
"57",1756
"58",1742
"59",1747
"60",1760
"61",1754
"62",1759
"63",2262
"64",1761
"65",2255
"66",1847
"67",1807
"68",2274
"69",2245
"70",2268
"71",1798
"72",1803
"73",1849
"74",1806
"75",1821
"76",1833
"77",1816
"78",1827
"79",1819
"80",1817
"81",1832
"82",1828
"83",1800
"84",1844
"85",1853
"86",1829
"87",1820
"88",1855
"89",1813
"90",1809
"91",1826
"92",1831
"93",1822
"94",1856
"95",1845
"96",2269
"97",1843
"98",1802
"99",1848
"100",2218
"101",2267
"102",2276
"103",2250
"104",2229
"105",2257
"106",2251
"107",2270
"108",2265
"109",2259
"110",2232
"111",2248
"112",2264
"113",2223
"114",2258
"115",2249
"116",2216
"117",1758
"118",1750
"119",2219
"120",2256
"121",2233
"122",2261
"123",2225
"124",2246
"125",2277
"126",1173
"127",288
"128",1164
"129",290
"130",1178
"131",2787
"132",1182
"133",1181
"134",1168
"135",1179
"136",1176
"137",1162
"138",1165
"139",2211
"140",2231
"141",2260
"142",2244
"143",2254
"144",2228
"145",2224
"146",2241
"147",2217
"148",2227
"149",2243
"150",2222
"151",2263
"152",1796
"153",1799
"154",2252
"155",2234
"156",2237
"157",2272
"158",2226
"159",2213
"160",2242
"161",2221
"162",2275
"163",2266
"164",1169
"165",1172
"166",1174
"167",2839
"168",2816
"169",2808
"170",2977
"171",1180
"172",2238
"173",2239
"174",2215
"175",2960
"176",2991
"177",1160
"178",2972
"179",2919
"180",2820
"181",2876
"182",2974
"183",2970
"184",3005
"185",3000
"186",2959
"187",3004
"188",2975
"189",3007
"190",2979
"191",2967
"192",3001
"193",2969
"194",3009
"195",2962
"196",2992
"197",2966
"198",2965
"199",3002
"200",2978
"201",2998
"202",2980
