"","x"
"571",411
"572",496
"573",461
"574",498
"575",445
"576",403
"577",370
"578",516
"579",501
"580",369
"581",442
"582",363
"583",475
"584",437
"585",376
"586",484
"587",433
"588",465
"589",505
"590",462
"591",424
"592",428
"593",507
"594",420
"595",508
"596",441
"597",439
"598",440
"599",482
"600",409
"601",2309
"602",2289
"603",2292
"604",2300
"605",2297
"606",2307
"607",2285
"608",2287
"609",2320
"610",2291
"611",2288
"612",2284
"613",375
"614",479
"615",394
"616",452
"617",2301
"618",2323
"619",2318
"620",2326
"621",2312
"622",2315
"623",2306
"624",2283
"625",448
"626",515
"627",489
"628",466
"629",387
"630",467
"631",410
"632",455
"633",436
"634",364
"635",417
"636",431
"637",2286
"638",2319
"639",485
"640",426
"641",512
"642",477
"643",2321
"644",1944
"645",2305
"646",2324
"647",1931
"648",1937
"649",2293
"650",1879
"651",1868
"652",1912
"653",1901
"654",1867
"655",1900
"656",1906
"657",1943
"658",1913
"659",497
"660",1878
"661",1894
"662",2399
"663",2447
"664",2467
"665",2456
"666",1876
"667",502
"668",463
"669",513
"670",422
"671",366
"672",473
"673",429
"674",15
"675",8
"676",58
"677",59
"678",37
"679",5
"680",22
"681",52
"682",48
"683",28
"684",36
"685",25
"686",10
"687",415
"688",385
"689",504
"690",399
"691",381
"692",2471
"693",2398
"694",2455
"695",2448
"696",2466
"697",2412
"698",2487
"699",2465
"700",2461
"701",2438
"702",2408
"703",986
"704",2463
"705",2419
"706",2470
"707",2459
"708",2395
"709",2441
"710",2401
"711",1077
"712",1033
"713",1075
"714",1063
"715",960
"716",1003
"717",1009
"718",1021
"719",1049
"720",974
"721",1006
"722",1002
"723",973
"724",1041
"725",1005
"726",1051
"727",1048
"728",1034
"729",989
"730",737
"731",689
"732",726
"733",682
"734",714
"735",677
"736",705
"737",612
"738",740
"739",578
"740",573
"741",582
"742",631
"743",635
"744",571
"745",588
"746",614
"747",618
"748",581
"749",651
"750",615
"751",619
"752",572
"753",648
"754",576
"755",579
"756",601
"757",586
"758",574
"759",641
"760",654
"761",585
"762",745
"763",728
"764",658
"765",657
"766",594
"767",602
"768",589
"769",644
"770",591
"771",596
"772",637
"773",625
"774",605
"775",661
"776",622
"777",587
"778",629
"779",620
"780",621
"781",564
"782",575
"783",656
"784",634
"785",643
"786",1564
"787",603
"788",592
"789",630
"790",645
"791",626
"792",624
"793",590
"794",570
"795",647
"796",636
"797",562
"798",566
"799",646
"800",616
"801",595
"802",811
"803",1472
"804",1548
"805",844
"806",597
"807",655
"808",609
"809",633
"810",663
"811",623
"812",639
"813",593
"814",608
"815",660
"816",577
"817",583
"818",606
"819",580
"820",613
"821",611
"822",567
"823",649
"824",598
"825",642
"826",778
"827",659
"828",569
"829",650
"830",632
"831",662
"832",565
"833",617
"834",610
"835",3043
"836",3065
"837",3054
"838",3059
"839",3073
"840",3049
"841",3044
"842",3018
"843",3058
"844",3021
"845",3033
"846",3080
"847",3027
"848",3081
"849",3041
"850",3078
"851",3067
"852",3036
"853",604
"854",3046
"855",3038
"856",3035
"857",786
"858",804
"859",837
"860",627
"861",784
"862",825
"863",771
"864",808
"865",812
"866",783
"867",765
"868",761
"869",841
"870",819
"871",840
"872",763
"873",849
"874",795
"875",797
"876",793
"877",767
"878",789
"879",821
"880",772
"881",853
"882",1304
"883",1361
"884",1320
"885",1287
"886",1332
"887",1352
"888",1323
"889",1345
"890",1314
"891",1327
"892",1366
"893",1290
"894",1307
"895",1351
"896",1285
"897",1329
"898",1298
"899",1360
"900",1283
"901",1294
"902",1334
"903",1965
"904",2005
"905",2002
"906",1976
"907",1958
"908",1979
"909",2003
"910",1978
"911",1964
"912",1972
"913",1970
"914",2008
"915",1998
"916",1981
"917",2007
"918",1987
"919",1963
"920",1994
"921",1961
"922",1996
"923",2004
"924",1991
"925",1959
"926",1992
"927",1988
"928",2006
"929",1966
"930",1990
"931",1315
"932",1974
"933",1340
"934",1325
"935",1348
"936",1319
"937",1337
"938",1343
"939",1324
"940",1295
"941",1284
"942",1316
"943",1309
"944",1291
"945",1311
"946",1349
"947",1296
"948",1318
"949",1281
"950",1328
"951",1313
"952",1310
"953",1293
"954",1338
"955",1289
"956",3029
"957",3020
"958",3079
"959",3071
"960",3068
"961",3016
"962",3062
"963",1282
"964",1342
"965",1362
"966",3069
"967",3030
"968",3060
"969",3061
"970",1305
"971",1299
"972",1350
"973",1346
"974",1354
"975",1300
"976",1330
"977",1335
"978",1359
"979",3019
"980",3075
"981",3031
"982",3022
"983",3074
"984",3023
"985",3040
"986",3045
"987",1308
"988",1365
"989",1303
"990",800
"991",851
"992",758
"993",3076
"994",3055
"995",3042
"996",3014
"997",3052
"998",3083
"999",3085
"1000",3050
"1001",3063
"1002",3082
"1003",3072
"1004",3048
"1005",3057
"1006",3064
"1007",3015
"1008",3017
"1009",3039
"1010",1224
"1011",1263
"1012",3077
"1013",3047
"1014",3053
"1015",3034
"1016",1233
"1017",3032
"1018",1228
"1019",1239
"1020",1204
"1021",1249
"1022",1219
"1023",3051
"1024",1252
"1025",1199
"1026",1245
"1027",1214
"1028",1246
"1029",1274
"1030",1218
"1031",3028
"1032",3056
"1033",3084
"1034",3037
"1035",3024
"1036",3026
"1037",3070
"1038",3066
"1039",3025
"1040",777
"1041",788
"1042",774
"1043",764
"1044",762
"1045",790
"1046",854
"1047",801
"1048",810
"1049",796
"1050",850
"1051",1302
"1052",1326
"1053",1363
"1054",1288
"1055",1344
"1056",1297
"1057",1312
"1058",1331
"1059",1322
"1060",1321
"1061",1339
"1062",2378
"1063",2333
"1064",2367
"1065",2356
"1066",2347
"1067",2346
"1068",2334
"1069",1967
"1070",2373
"1071",1997
"1072",1993
"1073",1995
"1074",1364
"1075",2383
"1076",1317
"1077",1367
"1078",1292
"1079",1356
"1080",1341
"1081",1353
"1082",1357
"1083",1336
"1084",1301
"1085",1355
"1086",1306
"1087",1358
"1088",1286
"1089",2353
"1090",2342
"1091",2340
"1092",2385
"1093",2366
"1094",2376
"1095",2384
"1096",2330
"1097",2357
"1098",2362
"1099",2352
"1100",2350
"1101",2372
"1102",1982
"1103",1980
"1104",2338
"1105",1971
"1106",1999
"1107",1986
"1108",1989
"1109",1984
"1110",1985
"1111",1969
"1112",1960
"1113",1983
"1114",1606
"1115",2009
"1116",1968
"1117",1610
"1118",1574
"1119",1607
"1120",1617
"1121",1581
"1122",1592
"1123",1575
"1124",1604
"1125",1573
"1126",1602
"1127",1570
"1128",1577
"1129",1619
"1130",1973
"1131",2000
"1132",1962
"1133",2359
"1134",2381
"1135",2001
"1136",1977
"1137",1957
"1138",1975
"1139",2343
"1140",2394
"1141",2348
"1142",2392
"1143",2382
"1144",2387
"1145",2386
"1146",2355
"1147",2363
"1148",2331
"1149",2365
"1150",2375
"1151",2388
"1152",2360
"1153",2370
"1154",2364
"1155",2329
"1156",2336
"1157",2335
"1158",2389
"1159",2354
"1160",1628
"1161",2339
"1162",2349
"1163",2345
"1164",2358
"1165",2361
"1166",2371
"1167",2390
"1168",2369
"1169",2377
"1170",1347
"1171",815
"1172",839
"1173",1333
"1174",827
"1175",826
"1176",785
"1177",776
"1178",787
"1179",829
"1180",766
"1181",831
"1182",792
"1183",769
"1184",768
"1185",836
"1186",779
"1187",838
"1188",760
"1189",794
"1190",780
"1191",832
"1192",805
"1193",834
"1194",803
"1195",807
"1196",813
"1197",799
"1198",806
"1199",847
"1200",809
"1201",845
"1202",823
"1203",817
"1204",818
"1205",814
"1206",775
"1207",846
"1208",816
"1209",843
"1210",835
"1211",757
"1212",756
"1213",770
"1214",824
"1215",828
"1216",842
"1217",1562
"1218",1487
"1219",1481
"1220",1474
"1221",1538
"1222",1466
"1223",1546
"1224",1503
"1225",1500
"1226",1491
"1227",1542
"1228",1456
"1229",1557
"1230",1469
"1231",1478
"1232",1504
"1233",1455
"1234",1498
"1235",1522
"1236",1509
"1237",86
"1238",1454
"1239",1553
"1240",90
"1241",126
"1242",87
"1243",147
"1244",133
"1245",118
"1246",154
"1247",2098
"1248",2108
"1249",2118
"1250",2146
"1251",2170
"1252",2148
"1253",2128
"1254",2136
"1255",2137
"1256",2165
"1257",99
"1258",148
"1259",139
"1260",131
"1261",146
"1262",106
"1263",124
"1264",157
"1265",140
"1266",97
"1267",135
"1268",108
"1269",112
"1270",109
"1271",145
"1272",142
"1273",105
"1274",153
"1275",155
"1276",94
"1277",151
"1278",127
"1279",85
"1280",1526
"1281",1483
"1282",1563
"1283",1561
"1284",1555
"1285",1471
"1286",1488
"1287",1533
"1288",1479
"1289",1492
"1290",1457
"1291",1529
"1292",1468
"1293",1473
"1294",1497
"1295",959
"1296",900
"1297",915
"1298",908
"1299",860
