"fips","name","long","lat","tz","area","children","distance"
"23003","Aroostook County, ME",-68.5984124811601,46.6592632140149,1,6671.08787151922,6247,0
"23021","Piscataquis County, ME",-69.2860222997359,45.8383906234183,1,3960.89982745133,1381,65.5752462884761
"23025","Somerset County, ME",-69.9599543244811,45.5122963858077,1,3924.37787909382,4761,39.6452939834962
"23019","Penobscot County, ME",-68.6502032429303,45.4019471843945,1,3397.18443958416,13768,64.11023011182
"23029","Washington County, ME",-67.6255090309261,45.0188198805367,1,2562.686136424,2930,56.5846256395043
"23009","Hancock County, ME",-68.3804817487086,44.5983075823991,1,1586.9898904671,4511,47.1209644188998
"23027","Waldo County, ME",-69.1206142824773,44.485829842944,1,729.927725807205,3586,37.3649477711888
"23013","Knox County, ME",-69.1052916877979,44.1148632498696,1,365.134483957148,3396,25.6251180498059
"23015","Lincoln County, ME",-69.5422624426634,44.0599719569619,1,455.842329716332,2859,22.0733896590735
"23023","Sagadahoc County, ME",-69.8507406007932,43.9541629661557,1,253.979340854966,3478,17.0195828040217
"23011","Kennebec County, ME",-69.7673854591134,44.4075955122396,1,867.496714492639,11430,31.5799059323892
"23001","Androscoggin County, ME",-70.2037976176625,44.1664774151037,1,467.931653554966,11693,27.3065980175902
"23005","Cumberland County, ME",-70.3722613223172,43.8370736544946,1,835.676015902637,27754,24.2430222576747
"23031","York County, ME",-70.7105237487303,43.4780837666159,1,990.779895510794,18410,30.0285502924992
"33001","Belknap County, NH",-71.4168423480708,43.5163731371326,1,401.596735515516,5218,35.5953927616886
"33013","Merrimack County, NH",-71.6775889612764,43.2956134359106,1,932.756798640284,13560,20.1122131442533
"33017","Strafford County, NH",-71.0233601265868,43.2918329987455,1,367.464540213661,11899,32.9905194510638
"33015","Rockingham County, NH",-71.1288558213279,42.9849809830317,1,695.117929325166,27844,21.8436910390756
"33011","Hillsborough County, NH",-71.7200354915216,42.9153718317729,1,876.404297083819,42641,30.3601657036672
"33005","Cheshire County, NH",-72.2530939474149,42.9201768848406,1,706.697828431344,6731,27.0465234006268
"33019","Sullivan County, NH",-72.2192903863491,43.3615726117192,1,537.509773355678,3797,30.5183884870894
"50027","Windsor County, VT",-72.5859515670379,43.5801093735671,1,969.57731091669,4930,23.8215944708534
"50025","Windham County, VT",-72.7126887476993,42.9869820016041,1,785.502131899748,3885,41.4417712967347
"25011","Franklin County, MA",-72.5860254704842,42.5811971254575,1,699.212727273872,5936,28.7412541851113
"25015","Hampshire County, MA",-72.6589847768993,42.3399795713382,1,527.227466306785,11595,17.0622165454678
"25013","Hampden County, MA",-72.6323556066285,42.1344042387792,1,617.043931526002,49288,14.2546468278945
"25027","Worcester County, MA",-71.9049336341866,42.3502695119263,1,1510.63658589537,82742,40.1710087832574
"25017","Middlesex County, MA",-71.3904894038176,42.4860808569805,1,817.709147707246,158015,27.930037506148
"25009","Essex County, MA",-70.9468625764014,42.6687627086649,1,492.419107283083,80321,25.9065515839362
"25025","Suffolk County, MA",-71.0785044187266,42.327951400941,1,58.2493353608484,69095,24.4663577311421
"25021","Norfolk County, MA",-71.2053040769081,42.1607309487193,1,396.092902140775,70919,13.2475573835948
"25023","Plymouth County, MA",-70.8080574595369,41.9407017144425,1,658.811368829025,51983,25.459403523476
"25001","Barnstable County, MA",-70.288543389677,41.7298057757277,1,394.206401588461,15266,30.5096509889205
"25019","Nantucket County, MA",-70.0877472946339,41.29420189882,1,46.1128259774135,1126,31.8153423062144
"25007","Dukes County, MA",-70.6876349710747,41.4067472491094,1,103.265314990191,1342,32.1471444046909
"25005","Bristol County, MA",-71.1087440634082,41.7922603037486,1,553.084590801461,56430,34.4052609472974
"44001","Bristol County, RI",-71.2865056040115,41.7101608358689,1,24.1652147970672,4298,10.7936926513985
"44005","Newport County, RI",-71.2656979849149,41.5642025956978,1,102.438021617018,6998,10.1306009925733
"44009","Washington County, RI",-71.6143321302637,41.4596657093618,1,329.261818503097,9777,19.4703854204867
"44003","Kent County, RI",-71.5762863671143,41.6709623508321,1,168.539602677944,14988,14.7149650513915
"44007","Providence County, RI",-71.5775898439673,41.8704910417318,1,409.53782061957,64208,13.7707599492672
"09015","Windham County, CT",-71.9866738866979,41.8307828295243,1,512.876586140004,11696,21.2863690838966
"09013","Tolland County, CT",-72.334543666695,41.8580209727762,1,410.322930401406,12560,18.0503962678241
"09011","New London County, CT",-72.1043097589059,41.4889643531926,1,665.142366618818,25952,28.1185154637759
"09007","Middlesex County, CT",-72.537160340176,41.4594872455588,1,369.30339846232,13764,22.5579676265508
"36103","Suffolk County, NY",-72.8012193269992,40.8832004907246,1,911.755114196258,153708,42.0846738707748
"09009","New Haven County, CT",-72.9362265953913,41.4080346199084,1,604.501716419077,84452,36.896122569619
"09003","Hartford County, CT",-72.7310291281551,41.8028259772735,1,735.132914181602,91093,29.2457102161708
"09005","Litchfield County, CT",-73.2454479964871,41.7929439705486,1,920.489988658674,15663,26.5751581593021
"36027","Dutchess County, NY",-73.7435644574241,41.7648570720066,1,795.632293848639,26897,25.8049921898828
"36079","Putnam County, NY",-73.749663377781,41.4262961218302,1,230.311548032551,9215,23.3674130791959
"09001","Fairfield County, CT",-73.3882358473496,41.2672328209974,1,624.969839340305,104237,21.7663187868882
"36119","Westchester County, NY",-73.7574177602107,41.1627798923587,1,430.516010361144,104676,20.5437006044339
"36087","Rockland County, NY",-74.0256049765306,41.150278936446,1,173.448448765273,45299,14.0139425288373
"36071","Orange County, NY",-74.3024075684047,41.4033746777668,1,812.31587507172,47407,22.6432356093853
